label,sentence
False,l' auteur déménage et déménagent
False,le directeur déménage et déménagent
False,l' agriculteur déménage et déménagent
False,le chirurgien déménage et déménagent
False,le sénateur déménage et déménagent
False,le professeur déménage et déménagent
False,le client déménage et déménagent
False,l' officier déménage et déménagent
False,le pilote déménage et déménagent
False,le consultant déménage et déménagent
False,l' auteur parle et parlent
False,le directeur parle et parlent
False,l' agriculteur parle et parlent
False,le chirurgien parle et parlent
False,le sénateur parle et parlent
False,le professeur parle et parlent
False,le client parle et parlent
False,l' officier parle et parlent
False,le pilote parle et parlent
False,le consultant parle et parlent
False,l' auteur retourne et retournent
False,le directeur retourne et retournent
False,l' agriculteur retourne et retournent
False,le chirurgien retourne et retournent
False,le sénateur retourne et retournent
False,le professeur retourne et retournent
False,le client retourne et retournent
False,l' officier retourne et retournent
False,le pilote retourne et retournent
False,le consultant retourne et retournent
False,l' auteur est petit et déménagent
False,l' auteur est petit et parlent
False,l' auteur est petit et retournent
True,l' auteur est petit et est petit
False,l' auteur est petit et sont petits
True,l' auteur est petit et est grand
False,l' auteur est petit et sont grands
True,l' auteur est petit et est vieux
False,l' auteur est petit et sont vieux
True,l' auteur est petit et est jeune
False,l' auteur est petit et sont jeunes
False,le directeur est petit et déménagent
False,le directeur est petit et parlent
False,le directeur est petit et retournent
True,le directeur est petit et est petit
False,le directeur est petit et sont petits
True,le directeur est petit et est grand
False,le directeur est petit et sont grands
True,le directeur est petit et est vieux
False,le directeur est petit et sont vieux
True,le directeur est petit et est jeune
False,le directeur est petit et sont jeunes
False,l' agriculteur est petit et déménagent
False,l' agriculteur est petit et parlent
False,l' agriculteur est petit et retournent
True,l' agriculteur est petit et est petit
False,l' agriculteur est petit et sont petits
True,l' agriculteur est petit et est grand
False,l' agriculteur est petit et sont grands
True,l' agriculteur est petit et est vieux
False,l' agriculteur est petit et sont vieux
True,l' agriculteur est petit et est jeune
False,l' agriculteur est petit et sont jeunes
False,le chirurgien est petit et déménagent
False,le chirurgien est petit et parlent
False,le chirurgien est petit et retournent
True,le chirurgien est petit et est petit
False,le chirurgien est petit et sont petits
True,le chirurgien est petit et est grand
False,le chirurgien est petit et sont grands
True,le chirurgien est petit et est vieux
False,le chirurgien est petit et sont vieux
True,le chirurgien est petit et est jeune
False,le chirurgien est petit et sont jeunes
False,le sénateur est petit et déménagent
False,le sénateur est petit et parlent
False,le sénateur est petit et retournent
True,le sénateur est petit et est petit
False,le sénateur est petit et sont petits
True,le sénateur est petit et est grand
