label,sentence
False,ה טייסים ליד ה שומר רץ
True,ה טבח ש אוהב את ה נהגים שוחה
False,ה מלצרים ש ה רקדנים מכיר נוסעים
False,ה טייס ליד ה זמרים נוסעים
False,ה רופא ש ה בנאים מכירים רצים
False,ה רופאים ש שונאים את ה מהנדסים שוחה
False,ה טבח ש ה עובדים אוהב רץ
False,ה נהג ש ה מלחינים מכיר רוקד
False,ה חיילים ש אוהבים את ה רקדנים שוחה
False,ה קצינים ש אוהבים את ה עובד צוחק
True,ה טייסים ש ה טכנאי מכיר צוחקים
True,ה מנהל ש מכיר את ה שומרים חי
True,ה מנהלים ש ה נהג שונא שוחים
False,ה נהג ש ה בנאים מעריצים רצים
True,ה רופא מאחורי ה רקדן שוחה
True,ה מלצר ש אוהב את ה נהג צוחק
True,ה טבח ש מעריץ את ה רקדנים רוקד
True,ה מלצר מאחורי ה עובד רץ
False,ה נהגים ש ה מהנדסים מכירים חי
True,ה רופא משחק כדורגל עם חברים ו כותב ב יומן מדי יום
False,ה טייס ש מעריץ את ה טכנאי רצים
True,ה יועץ ש שונא את ה מלחין שוחה
True,ה טבח ש ה רקדנים אוהבים צוחק
False,ה רופאים ש ה עובדים מכירים שוחה
True,ה יועצים ש שונאים את ה רקדן רוקדים
False,ה קצין ש מעריץ את ה בנאי צוחקים
False,ה מנהל ש ה זמרים שונא רוקד
True,ה מלצר ש ה עובדים מכירים צוחק
True,ה נהג ש ה בנאים שונאים רץ
False,ה יועצים נוסעים ו נוסע
True,ה מנהלים ש ה שומר אוהב שוחים
True,ה מנהלים ש ה בנאי אוהב נוסעים
False,ה מנהל ש אוהב את ה נהג צוחקים
True,ה קצינים ליד ה זמרים רוקדים
False,ה יועץ ש ה מלחין מכיר רוקדים
True,ה מלצר ש ה עובד אוהב חי
False,ה רופא צוחק ו חיים
True,ה מנהלים ש מעריצים את ה מהנדסים חיים
False,ה טייסים ש ה בנאי שונאים נוסעים
False,ה נהג ש אוהב את ה רקדן שוחים
True,ה חיילים ש ה נהגים מכירים חיים
True,ה קצין ש שונא את ה עובדים צוחק
True,ה טייסים ש ה טכנאים מעריצים צוחקים
False,ה נהגים ש ה בנאים מכירים חי
False,ה טבח מאחורי ה בנאי ישנים
True,ה נהגים ש ה שרים מעריצים רצים
False,ה טייס ש ה שרים שונא חי
True,ה חיילים ש ה מהנדסים אוהבים חיים
True,ה נהג דובר חמש שפות שונות ו משחק כדורגל עם חברים
False,ה חקלאי ש אוהב את ה מלחינים חיים
False,ה טבחים ש ה רקדן שונאים נוסעים
True,ה חקלאים ש שונאים את ה זמר רוקדים
False,ה יועץ ש ה שר שונא רצים
True,ה טבח ש ה מלחין מכיר ישן
True,ה רופאים ש ה עובדים מכירים ישנים
False,ה טבח ש ה בנאים שונאים ישנים
False,ה מלצר ש ה רקדנים אוהב רוקד
True,ה חייל ש ה שר מכיר רץ
True,ה יועצים ש מכירים את ה שר שוחים
True,ה חיילים ש מעריצים את ה מהנדס נוסעים
True,ה מלצר ש שונא את ה בנאי ישן
True,ה טבחים ש ה שומרים אוהבים ישנים
True,ה קצין ש ה זמר שונא רוקד
False,ה רופא ש ה מהנדס אוהבים ישן
True,ה קצין ש ה נהג מכיר שוחה
False,ה מנהלים ש מכירים את ה שומרים חי
True,ה חייל ליד ה טכנאים שוחה
True,ה טבח ש ה בנאי שונא רוקד
True,ה חיילים ש ה בנאים מעריצים נוסעים
False,ה מנהל ש ה רקדנים מעריץ ישן
True,ה רופאים ש ה מהנדס מעריץ רוקדים
False,ה קצינים ש שונאים את ה רקדנים נוסע
False,ה נהגים ש אוהבים את ה שר רוקד
False,ה קצין מאחורי ה רקדנים ישנים
False,ה רופאים ש אוהבים את ה מהנדסים שוחה
True,ה קצין ש שונא את ה שרים רץ
True,ה טבחים ש ה מלחינים שונאים שוחים
True,ה טייסים ש ה שר מכיר צוחקים
True,ה מלצרים ש ה רקדנים אוהבים צוחקים
True,ה מנהלים ש ה מהנדס אוהב נוסעים
False,ה יועץ ש ה רקדנים אוהבים שוחים
True,ה יועצים צוחקים
False,ה רופא ש אוהב את ה עובדים שוחים
True,ה קצין ש מכיר את ה זמרים חי
True,ה חייל ש מכיר את ה מלחינים צוחק
False,ה טייס ליד ה עובד צוחקים
False,ה טבח ש ה שומרים מכיר ישן
True,ה רופא ש מכיר את ה עובד נוסע
True,ה טייסים ש ה שומרים מכירים רוקדים
False,ה יועצים ש ה שרים אוהב ישנים
True,ה מלצר ש ה מהנדסים אוהבים שוחה
True,ה נהג חי ו שותה
True,ה מנהלים ש מעריצים את ה נהג שוחים
False,ה חיילים ש ה מהנדסים מעריצים ישן
True,ה טבחים ש ה זמרים מכירים ישנים
False,ה מנהלים ש ה שומר אוהב רץ
True,ה חיילים ש ה נהגים מעריצים צוחקים
True,ה טבח ש ה זמרים מכירים צוחק
False,ה קצין ליד ה בנאי חיים
True,ה חקלאים ש ה טכנאים אוהבים נוסעים
False,ה רופא ש שונא את ה בנאי ישנים
False,ה קצינים ש ה טכנאי שונא רץ
False,ה חקלאי ש מעריץ את ה מלחינים רוקדים
True,ה חקלאים ש אוהבים את ה שר רוקדים
True,ה טבחים ש ה רקדן שונא חיים
False,ה נהג ש ה רקדן מכירים רץ
False,ה נהג מאחורי ה זמרים נוסעים
True,ה נהגים ש ה עובדים מכירים נוסעים
True,ה מנהלים ש שונאים את ה שר שוחים
False,ה טבח ש ה עובד אוהב חיים
True,ה חייל ש ה בנאי מכיר רוקד
False,ה טייס ש ה נהגים מכירים צוחקים
False,ה קצינים ש אוהבים את ה רקדנים רוקד
True,ה טייס ש ה טכנאי אוהב נוסע
False,ה נהגים ש שונאים את ה זמרים צוחק
True,ה חקלאים ש מכירים את ה עובד ישנים
True,ה רופאים ש ה מהנדס מכיר שוחים
True,ה רופא ש מעריץ את ה טכנאי רוקד
True,ה קצין ש ה בנאי אוהב רץ
True,ה מנהלים מאחורי ה שומרים שוחים
False,ה רופא ש ה מהנדסים מכיר רץ
False,ה טבח ש ה מלחין מכירים רץ
False,ה טייסים ש ה שומרים אוהב ישנים
False,ה נהג מאחורי ה זמר חיים
False,ה חייל ש ה עובד אוהב חיים
False,ה טייס ש ה נהג שונאים חי
True,ה חייל מאחורי ה נהגים נוסע
False,ה רופא אוהב לצפות ב תוכניות טלוויזיה ו גרים ב מרכז ה עיר
False,ה טייסים ש מעריצים את ה שרים רץ
True,ה קצין ש מכיר את ה טכנאי נוסע
True,ה מלצר ש מכיר את ה עובד ישן
False,ה מנהל ש ה זמר אוהב רצים
True,ה טבח ש ה שרים מכירים צוחק
False,ה טבחים ש אוהבים את ה מהנדסים שוחה
False,ה חקלאים ש ה מהנדסים מכיר ישנים
False,ה רופאים ש שונאים את ה טכנאים ישן
False,ה טבח ש ה טכנאי אוהבים חי
True,ה טייס ש ה בנאי מעריץ חי
False,ה חקלאי ליד ה נהג חיים
False,ה חייל ש ה זמרים מעריץ רוקד
False,ה מלצרים ש ה נהגים שונא רצים
True,ה חייל ש מכיר את ה רקדן שוחה
False,ה טבח ש מכיר את ה שומרים נוסעים
False,ה רופא ליד ה מלחינים שוחים
False,ה קצין ש מכיר את ה נהג ישנים
False,ה מלצר ש ה מהנדסים אוהב חי
