label,sentence
True,les auteurs sont vieux
False,les auteurs est vieux
True,les auteurs sont jeunes
False,les auteurs est jeune
True,les auteurs sont petits
False,les auteurs est petit
True,les auteurs sont grands
False,les auteurs est grand
True,les auteurs déménagent
True,les auteurs parlent
False,les auteurs parle
True,les auteurs retournent
True,les directeurs sont vieux
False,les directeurs est vieux
True,les directeurs sont jeunes
False,les directeurs est jeune
True,les directeurs sont petits
False,les directeurs est petit
True,les directeurs sont grands
False,les directeurs est grand
True,les directeurs déménagent
True,les directeurs parlent
False,les directeurs parle
True,les directeurs retournent
True,les agriculteurs sont vieux
False,les agriculteurs est vieux
True,les agriculteurs sont jeunes
False,les agriculteurs est jeune
True,les agriculteurs sont petits
False,les agriculteurs est petit
True,les agriculteurs sont grands
False,les agriculteurs est grand
True,les agriculteurs déménagent
True,les agriculteurs parlent
False,les agriculteurs parle
True,les agriculteurs retournent
True,les chirurgiens sont vieux
False,les chirurgiens est vieux
True,les chirurgiens sont jeunes
False,les chirurgiens est jeune
True,les chirurgiens sont petits
False,les chirurgiens est petit
True,les chirurgiens sont grands
False,les chirurgiens est grand
True,les chirurgiens déménagent
True,les chirurgiens parlent
False,les chirurgiens parle
True,les chirurgiens retournent
True,les sénateurs sont vieux
False,les sénateurs est vieux
True,les sénateurs sont jeunes
False,les sénateurs est jeune
True,les sénateurs sont petits
False,les sénateurs est petit
True,les sénateurs sont grands
False,les sénateurs est grand
True,les sénateurs déménagent
True,les sénateurs parlent
False,les sénateurs parle
True,les sénateurs retournent
True,les professeurs sont vieux
False,les professeurs est vieux
True,les professeurs sont jeunes
False,les professeurs est jeune
True,les professeurs sont petits
False,les professeurs est petit
True,les professeurs sont grands
False,les professeurs est grand
True,les professeurs déménagent
True,les professeurs parlent
False,les professeurs parle
True,les professeurs retournent
True,les clients sont vieux
False,les clients est vieux
True,les clients sont jeunes
False,les clients est jeune
True,les clients sont petits
False,les clients est petit
True,les clients sont grands
False,les clients est grand
True,les clients déménagent
True,les clients parlent
False,les clients parle
True,les clients retournent
True,les officiers sont vieux
False,les officiers est vieux
True,les officiers sont jeunes
False,les officiers est jeune
True,les officiers sont petits
False,les officiers est petit
True,les officiers sont grands
False,les officiers est grand
True,les officiers déménagent
True,les officiers parlent
False,les officiers parle
True,les officiers retournent
True,les pilotes sont vieux
False,les pilotes est vieux
True,les pilotes sont jeunes
False,les pilotes est jeune
True,les pilotes sont petits
False,les pilotes est petit
True,les pilotes sont grands
False,les pilotes est grand
True,les pilotes déménagent
True,les pilotes parlent
False,les pilotes parle
True,les pilotes retournent
True,les consultants sont vieux
False,les consultants est vieux
True,les consultants sont jeunes
False,les consultants est jeune
True,les consultants sont petits
False,les consultants est petit
True,les consultants sont grands
False,les consultants est grand
True,les consultants déménagent
True,les consultants parlent
False,les consultants parle
True,les consultants retournent
True,l' auteur est vieux
False,l' auteur sont vieux
True,l' auteur est jeune
False,l' auteur sont jeunes
True,l' auteur est petit
False,l' auteur sont petits
True,l' auteur est grand
False,l' auteur sont grands
False,l' auteur déménagent
True,l' auteur parle
False,l' auteur parlent
False,l' auteur retournent
True,le directeur est vieux
False,le directeur sont vieux
True,le directeur est jeune
False,le directeur sont jeunes
True,le directeur est petit
False,le directeur sont petits
True,le directeur est grand
False,le directeur sont grands
False,le directeur déménagent
True,le directeur parle
False,le directeur parlent
False,le directeur retournent
True,l' agriculteur est vieux
False,l' agriculteur sont vieux
True,l' agriculteur est jeune
False,l' agriculteur sont jeunes
True,l' agriculteur est petit
False,l' agriculteur sont petits
True,l' agriculteur est grand
False,l' agriculteur sont grands
False,l' agriculteur déménagent
True,l' agriculteur parle
False,l' agriculteur parlent
False,l' agriculteur retournent
True,le chirurgien est vieux
False,le chirurgien sont vieux
True,le chirurgien est jeune
False,le chirurgien sont jeunes
True,le chirurgien est petit
False,le chirurgien sont petits
True,le chirurgien est grand
False,le chirurgien sont grands
False,le chirurgien déménagent
True,le chirurgien parle
False,le chirurgien parlent
False,le chirurgien retournent
True,le sénateur est vieux
False,le sénateur sont vieux
True,le sénateur est jeune
False,le sénateur sont jeunes
True,le sénateur est petit
False,le sénateur sont petits
True,le sénateur est grand
False,le sénateur sont grands
